,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,33.0,2.0,6.0,22.0,13.0,4.0,7.0,59.0,3.0,23.0,115.0,29.0,4.0,22.929
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,1.0,0.897,1.0,0.583,0.882,0.676,1.0,0.714,0.79,1.0,0.902,0.839,0.775,0.7,0.84
PA,1.0,0.256,0.0,0.333,0.206,0.622,0.0,0.143,0.048,0.667,0.098,0.177,0.212,0.4,0.297
FGA,1.0,0.909,1.0,0.571,0.933,0.643,1.0,0.714,0.81,1.0,0.913,0.87,0.721,0.5,0.827
PTA,1.0,0.212,0.0,0.333,0.227,0.538,0.0,0.143,0.051,0.667,0.174,0.191,0.276,0.25,0.29
RTA,1.0,0.212,0.0,0.25,0.217,0.467,0.0,0.143,0.048,0.667,0.174,0.177,0.25,0.25,0.275
FTA,1.0,0.212,0.0,0.286,0.222,0.5,0.0,0.143,0.05,0.667,0.174,0.184,0.262,0.25,0.282
